Model,num_init,base_channel,stride_init,tkernel_init,FLOPs (GFLOPs),Params (M)
{'STGCN++'},4,256,2,7,0.9742136,1.375784
{'STGCN++'},4,256,3,7,0.810388,1.375784
{'STGCN++'},4,256,2,5,0.9500339,1.331336
{'STGCN++'},4,256,3,5,0.7937645,1.331336
{'STGCN++'},4,256,1,7,1.4260383,1.30948
{'STGCN++'},4,256,2,3,0.9258542,1.286888
{'STGCN++'},4,256,3,3,0.7771409,1.286888
{'STGCN++'},4,256,1,5,1.3776788,1.265032
{'STGCN++'},4,256,1,3,1.3293194,1.220584
{'STGCN++'},3,256,2,7,0.7656092,0.992832
{'STGCN++'},3,256,3,7,0.6669725,0.992832
{'STGCN++'},3,256,2,5,0.7494894,0.9632
{'STGCN++'},3,256,3,5,0.6558901,0.9632
{'STGCN++'},3,256,2,3,0.7333696,0.933568
{'STGCN++'},3,256,3,3,0.6448078,0.933568
{'STGCN++'},3,256,1,7,1.0088294,0.926528
{'STGCN++'},3,256,1,5,0.9765898,0.896896
{'STGCN++'},3,256,1,3,0.9443502,0.867264
{'STGCN++'},4,195,2,7,0.5680711,0.801568
{'STGCN++'},4,195,3,7,0.472684,0.801568
{'STGCN++'},4,195,2,5,0.5540457,0.775786
{'STGCN++'},4,195,3,5,0.4630415,0.775786
{'STGCN++'},4,195,1,7,0.8310903,0.762958
{'STGCN++'},4,195,2,3,0.5400203,0.750004
{'STGCN++'},4,195,3,3,0.453399,0.750004
{'STGCN++'},4,195,1,5,0.8030394,0.737176
{'STGCN++'},4,195,1,3,0.7749886,0.711394
{'STGCN++'},2,256,2,7,0.5570048,0.60988
{'STGCN++'},2,256,3,7,0.523557,0.60988
{'STGCN++'},2,256,2,5,0.5489449,0.595064
{'STGCN++'},2,256,3,5,0.5180158,0.595064
{'STGCN++'},2,256,2,3,0.540885,0.580248
{'STGCN++'},2,256,3,3,0.5124746,0.580248
{'STGCN++'},3,195,2,7,0.4466525,0.578762
{'STGCN++'},3,195,3,7,0.3892087,0.578762
{'STGCN++'},3,195,2,5,0.4373023,0.561574
{'STGCN++'},3,195,3,5,0.3827804,0.561574
{'STGCN++'},3,195,2,3,0.427952,0.544386
{'STGCN++'},3,195,3,3,0.376352,0.544386
{'STGCN++'},2,256,1,7,0.5916206,0.543576
{'STGCN++'},3,195,1,7,0.588253,0.540152
{'STGCN++'},4,159,2,7,0.3796631,0.535336
{'STGCN++'},4,159,3,7,0.3159908,0.535336
{'STGCN++'},2,256,1,5,0.5755008,0.52876
{'STGCN++'},3,195,1,5,0.5695525,0.522964
{'STGCN++'},4,159,2,5,0.3702987,0.518122
{'STGCN++'},4,159,3,5,0.3095528,0.518122
{'STGCN++'},2,256,1,3,0.559381,0.513944
{'STGCN++'},4,159,1,7,0.5552168,0.509578
{'STGCN++'},3,195,1,3,0.5508519,0.505776
{'STGCN++'},4,159,2,3,0.3609343,0.500908
{'STGCN++'},4,159,3,3,0.3031147,0.500908
{'STGCN++'},4,159,1,5,0.536488,0.492364
{'STGCN++'},4,159,1,3,0.5177592,0.47515
{'STGCN++'},3,159,2,7,0.2986463,0.386726
{'STGCN++'},3,159,3,7,0.2602917,0.386726
{'STGCN++'},3,159,2,5,0.2924034,0.37525
{'STGCN++'},3,159,3,5,0.2559997,0.37525
{'STGCN++'},3,159,2,3,0.2861604,0.363774
{'STGCN++'},3,159,3,3,0.2517077,0.363774
